Thread[Thread-1,5,main] Beacon Parent -> 30    Beacon Voltage 17109  Beacon etx 2849 
 Beacon Parent -> 30    Beacon Voltage -2602  Beacon etx 3802 
 Beacon Parent -> 30    Beacon Voltage -2561  Beacon etx 3802 

@ CTP # No: 400 # Best 20 # BestVolt: -2561 # PathVolt: 16494 # BestEtx: 3802 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage -2608  Beacon etx 3802 
 Beacon Parent -> 10    Beacon Voltage 5651  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5647  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5624  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5672  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5674  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5666  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5632  Beacon etx 3822 
 Beacon Parent -> 30    Beacon Voltage 9732  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9735  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9758  Beacon etx 3832 
 Beacon Parent -> 10    Beacon Voltage 5673  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5649  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5629  Beacon etx 3822 
 Beacon Parent -> 10    Beacon Voltage 5631  Beacon etx 3822 
 Beacon Parent -> 30    Beacon Voltage 9746  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9743  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9745  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9765  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9773  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9758  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9737  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9726  Beacon etx 3832 
 Beacon Parent -> 30    Beacon Voltage 9744  Beacon etx 3832 
